val_map,val_precision,val_recall,val_f1
0,0,0,0
0.296296915,0.515427993,0.566098335,0.539576192
0.407466421,0.574743592,0.63667724,0.604127243
0.506854313,0.547162478,0.694567803,0.612115926
0.546314906,0.676452645,0.696153846,0.686161859
0.57739807,0.584690734,0.743735131,0.65469222
0.599190948,0.579708922,0.745321174,0.652165314
0.650284008,0.578530417,0.742942109,0.65050858
0.599472011,0.608539209,0.742149088,0.668735814
0.683915351,0.642005825,0.745321174,0.689816511
0.709300743,0.639927245,0.751665345,0.691310283
0.710773571,0.598696754,0.763560666,0.671152582
0.727561402,0.612958434,0.773076923,0.683769022
0.746686332,0.620213176,0.772283902,0.687944929
0.719480492,0.56698851,0.781007137,0.657008165
0.732828957,0.591997632,0.783386201,0.674375785
0.749774678,0.618201457,0.77704203,0.688580193
0.731375308,0.61178801,0.759595559,0.677726445
0.745597763,0.581246374,0.776249009,0.66474174
0.769714442,0.599692249,0.783386201,0.679340543
0.766389868,0.616914411,0.77704203,0.68778107
0.777092627,0.679213022,0.764353688,0.719272583
0.76935984,0.646528809,0.776249009,0.705475361
0.757337647,0.638028046,0.772283902,0.698765673
0.770072941,0.609481393,0.77149088,0.680983023
0.750347574,0.641571069,0.775455987,0.702188606
0.778666891,0.653210916,0.77704203,0.709765832
0.76065793,0.595309716,0.788937351,0.678581276
0.774424481,0.640442464,0.784972244,0.705380063
0.777660051,0.656035668,0.77704203,0.711430075
0.784343478,0.606661519,0.789730373,0.68619566
0.775988993,0.581049223,0.78814433,0.668934863
0.790144845,0.653112656,0.776249009,0.70937687
0.779401034,0.595725413,0.781800159,0.676195393
0.760238969,0.567554119,0.796867565,0.662940899
0.789655889,0.602909757,0.789730373,0.68378921
0.778778367,0.635928811,0.780214116,0.700721129
0.785963777,0.662536892,0.784179223,0.718244111
0.786222234,0.705832029,0.766732752,0.735023058
0.795931263,0.621454861,0.796074544,0.698009358
0.787345282,0.672833318,0.783386201,0.723913297
0.781485568,0.651529739,0.783386201,0.711399731
0.77777731,0.712167427,0.756423473,0.733628621
0.77352508,0.576445931,0.79924663,0.669804404
0.775597616,0.673036389,0.779421094,0.722332688
0.78220776,0.652528819,0.784179223,0.712322236
0.788579487,0.614417212,0.78814433,0.690521489
0.777852794,0.677148413,0.773869944,0.722285562
0.774435356,0.617410624,0.785765266,0.691488254
0.788048922,0.709945702,0.769111816,0.73834536
0.79963524,0.72661291,0.768318795,0.746884093
0.804742719,0.712316523,0.778628073,0.743997655
0.798623204,0.677720759,0.786558287,0.728094663
0.792482843,0.682347796,0.769904837,0.723486888
0.79469408,0.686662152,0.780214116,0.730454934
0.796454431,0.69279677,0.775455987,0.731799618
0.793250783,0.656890806,0.787351308,0.716228713
0.800787224,0.636647984,0.795281523,0.707177799
0.787165419,0.671731383,0.774662966,0.71953465
0.776272349,0.64522534,0.779421094,0.706002877
0.7836905,0.66485555,0.785765266,0.720271476
0.793367215,0.651798424,0.780214116,0.710248433
0.792033462,0.665390821,0.786558287,0.720918745
0.790596246,0.704622514,0.776249009,0.738703554
0.795547273,0.659674908,0.784179223,0.716559029
0.781547151,0.677625389,0.781007137,0.725652631
0.793652438,0.665840615,0.785765266,0.720849143
0.799141652,0.639074388,0.797660587,0.709615149
0.792037538,0.714350333,0.776249009,0.744014468
0.795829014,0.675539419,0.78259318,0.725136442
0.790504831,0.647107546,0.795281523,0.713583714
0.793437453,0.605569928,0.806383822,0.691696584
0.79722742,0.660926412,0.787351308,0.718620839
0.788272896,0.650683438,0.784972244,0.711547267
0.795740684,0.694882114,0.77149088,0.731185334
0.79996512,0.655692195,0.797660587,0.719742416
0.797500418,0.652611075,0.790523394,0.714977479
0.800173592,0.662922309,0.786558287,0.719467425
0.79684513,0.632879489,0.796074544,0.705158093
0.786707496,0.669711358,0.781007137,0.72109007
0.79306005,0.641019675,0.788937351,0.70732806
0.786476288,0.659882042,0.786558287,0.717673143
0.801625328,0.686224838,0.773076923,0.727066328
0.794605979,0.704043471,0.763560666,0.732595239
0.794497974,0.713154504,0.77704203,0.743728778
0.794304634,0.649457787,0.78814433,0.712111462
0.785696852,0.698047122,0.781800159,0.737553608
0.785439754,0.644513719,0.786558287,0.708486512
0.795807049,0.642606607,0.78814433,0.707973332
0.804829973,0.68090784,0.785765266,0.729588247
0.782670821,0.710301015,0.78259318,0.744696753
0.807434406,0.649991709,0.791316416,0.713725401
0.794614547,0.714268447,0.773076923,0.742510064
0.792795172,0.735950362,0.766732752,0.751026269
0.795538615,0.653529141,0.790523394,0.715528088
0.798321488,0.650501421,0.792109437,0.714355242
0.798187893,0.665618536,0.791316416,0.723045148
0.798563299,0.681782264,0.789730373,0.731796857
0.793089926,0.667724763,0.788937351,0.723287852
0.792023283,0.670106604,0.790523394,0.725351318
0.797237839,0.697400991,0.780214116,0.736486917
0.79523381,0.680761861,0.783386201,0.728477484
0.791413144,0.688151292,0.780214116,0.73129665
0.786470961,0.704140522,0.772283902,0.736639656
0.791916631,0.720653013,0.777835052,0.748153004
0.80103223,0.704512884,0.77704203,0.739002134
0.808569218,0.708441108,0.775455987,0.740435304
0.796352968,0.686268157,0.779421094,0.729884424
0.808005546,0.670776526,0.788937351,0.725074501
0.799942237,0.668941492,0.780214116,0.7203058
0.807227433,0.701433641,0.783386201,0.740148292
0.804719684,0.725241138,0.777835052,0.750617942
0.781844792,0.692044568,0.780214116,0.733489225
0.803854936,0.7127106,0.767525773,0.739103246
0.802194657,0.668439515,0.788937351,0.723706973
0.800653771,0.658781302,0.786558287,0.717021655
0.808723732,0.684801972,0.781007137,0.729747447
0.797695067,0.663561569,0.789730373,0.721169244
0.791456726,0.74350992,0.762767645,0.753015678
0.797116952,0.7092191,0.781007137,0.743384011
0.801464081,0.726169458,0.772283902,0.748517101
0.794673509,0.667500062,0.792109437,0.724485691
0.791658718,0.669373345,0.781800159,0.721231729
0.792679442,0.679069232,0.78814433,0.729552369
0.796472363,0.695671339,0.785765266,0.73797876
0.795955011,0.671133201,0.781800159,0.722252042
0.80535054,0.677528761,0.791316416,0.73001517
0.794533906,0.702250008,0.778628073,0.738469395
0.795730378,0.666861156,0.787351308,0.722114569
0.796402022,0.691538776,0.781800159,0.733904619
0.80236413,0.688433665,0.786558287,0.73423208
0.808843003,0.699301597,0.784972244,0.739664513
0.794257329,0.69184756,0.781800159,0.734078471
0.79333153,0.704215289,0.784179223,0.742049226
0.783179151,0.701588512,0.774662966,0.736317146
0.799237632,0.691852571,0.785765266,0.735824522
0.795315312,0.709414223,0.77704203,0.741689729
0.79582851,0.68340286,0.779421094,0.728260709
0.797615408,0.708647764,0.778628073,0.741991538
0.796053653,0.710786332,0.776249009,0.742076763
0.796825242,0.681963914,0.781007137,0.72813291
0.805039583,0.698051467,0.777835052,0.735786786
0.79929946,0.70925509,0.784179223,0.744837721
0.781498707,0.726183621,0.769904837,0.747405382
0.798448282,0.695851464,0.785765266,0.738080098
0.791008121,0.72002421,0.77704203,0.747447319
0.801966298,0.676053408,0.787351308,0.727470028
0.799321611,0.728305745,0.77704203,0.751884958
0.80364904,0.69726483,0.784179223,0.738172449
0.78884612,0.715164951,0.776249009,0.744456066
0.798923253,0.700574347,0.78259318,0.739315952
0.798192541,0.720601155,0.781800159,0.749954213
0.792038403,0.69544322,0.781007137,0.735745859
0.80372322,0.730216598,0.773869944,0.751409792
0.800080398,0.707631333,0.778628073,0.741433991
