val_map,val_precision,val_recall,val_f1,
0,0,0,0,
0.00765,0.00123,0.14442,0.002439226,2*B3*C3/(B3+C3)
0.12215,0.12537,0.25768,0.168674281,
0.14223,0.38829,0.18859,0.253874674,
0.27982,0.25913,0.44573,0.327730372,
0.37514,0.32075,0.5655,0.409329478,
0.39671,0.40529,0.44066,0.422235573,
0.44536,0.42947,0.50215,0.462974948,
0.48977,0.44658,0.54117,0.489345884,
0.55732,0.45512,0.60474,0.519369103,
0.58079,0.50886,0.58062,0.542376718,
0.59534,0.56836,0.6236,0.594699983,
0.56315,0.48527,0.57282,0.525422906,
0.63535,0.63192,0.57585,0.602583492,
0.54595,0.43528,0.66019,0.524646961,
0.66684,0.69332,0.58594,0.635123307,
0.69442,0.61142,0.66447,0.636842122,
0.7305,0.69859,0.69122,0.694885459,
0.72218,0.70762,0.65454,0.680045802,
0.73328,0.67643,0.68678,0.681565709,
0.70667,0.64711,0.69421,0.66983305,
0.7157,0.6547,0.64762,0.651140755,
0.72832,0.65064,0.7039,0.676222918,
0.75747,0.74592,0.66428,0.702736828,
0.77093,0.70702,0.72883,0.717759357,
0.75807,0.66469,0.74074,0.700657408,
0.79087,0.77792,0.69971,0.736745198,
0.7499,0.67057,0.68409,0.677262533,
0.78403,0.77876,0.67281,0.721918358,
0.78435,0.72057,0.73452,0.72747813,
0.76296,0.71888,0.71213,0.71548908,
0.7587,0.70423,0.70628,0.70525351,
0.79136,0.69651,0.75956,0.726669921,
0.78771,0.77534,0.70224,0.73698177,
0.77278,0.75186,0.69997,0.724987697,
0.78461,0.75414,0.71798,0.735615897,
0.78243,0.76052,0.71088,0.734862658,
0.78811,0.75763,0.70737,0.731637861,
0.80399,0.72146,0.76353,0.741899075,
0.81299,0.77623,0.69997,0.736130217,
0.81451,0.77181,0.7664,0.769095486,
0.81146,0.85718,0.66516,0.749059801,
0.80957,0.78728,0.71016,0.746734113,
0.80022,0.76506,0.7267,0.745386794,
0.81198,0.75619,0.72017,0.737740595,
0.81414,0.8083,0.75824,0.782470147,
0.82186,0.8168,0.71923,0.764916133,
0.81655,0.78326,0.73689,0.759367775,
0.83257,0.81591,0.72719,0.768999537,
0.81266,0.79419,0.72249,0.756645216,
0.82302,0.72307,0.78954,0.754844524,
0.82235,0.71135,0.76136,0.735505885,
0.80146,0.72324,0.76716,0.74455287,
0.83097,0.7145,0.817,0.762319948,
0.82571,0.75565,0.77321,0.764329156,
0.82402,0.76219,0.74059,0.751234768,
0.8284,0.74277,0.77666,0.759337052,
0.8378,0.76626,0.77977,0.772955971,
0.82084,0.80064,0.71578,0.755835585,
0.83353,0.72039,0.80228,0.759132956,
0.83326,0.75237,0.78745,0.769510406,
0.82115,0.70718,0.81216,0.756043162,
0.84135,0.82835,0.72277,0.771966746,
0.81119,0.70024,0.80711,0.749886498,
0.83441,0.75738,0.7962,0.776304994,
0.84104,0.79762,0.73898,0.767181085,
0.83504,0.71514,0.81414,0.761435551,
0.84466,0.84082,0.74161,0.788105029,
0.82551,0.72814,0.78278,0.754472016,
0.84222,0.8512,0.72325,0.782025977,
0.82773,0.77333,0.75312,0.763091211,
0.83852,0.79576,0.76811,0.781690567,
0.83628,0.78604,0.75549,0.77046228,
0.84435,0.80013,0.74205,0.769996325,
0.84107,0.76418,0.80381,0.783494188,
0.83539,0.79444,0.72173,0.756341546,
0.83969,0.80643,0.73889,0.771184043,
0.8473,0.80602,0.74749,0.775652413,
0.84323,0.77536,0.79882,0.786915188,
0.85199,0.79012,0.77218,0.781046997,
0.85046,0.83214,0.74117,0.784025022,
0.85163,0.77474,0.8131,0.793456638,
0.8523,0.81728,0.75571,0.785290013,
0.85115,0.75458,0.80471,0.778839179,
0.86829,0.81007,0.78057,0.795046447,
0.86124,0.80351,0.77976,0.791456868,
0.8497,0.82378,0.7326,0.775519125,
0.8453,0.76066,0.82493,0.791492446,
0.84975,0.82236,0.74481,0.781666254,
0.85349,0.81884,0.76819,0.792706754,
0.84937,0.8344,0.74657,0.788045324,
0.84901,0.84973,0.7379,0.789876441,
0.85042,0.76109,0.80752,0.783617849,
0.84534,0.79718,0.74576,0.770613189,
0.84606,0.85543,0.73433,0.790267603,
0.85104,0.79943,0.75433,0.776225456,
0.85224,0.77135,0.81322,0.791731823,
0.86714,0.87567,0.74736,0.806443173,
0.85695,0.82209,0.7734,0.797002057,
0.86288,0.83183,0.76137,0.795041937,
0.87014,0.76873,0.83037,0.798361991,
0.8697,0.8411,0.76254,0.79989573,
