val_map,val_precision,val_recall,val_f1,
0.8887,0.77903,0.84913,0.812570931,
0.89259,0.83896,0.78755,0.812442528,
0.89442,0.83832,0.79618,0.816706782,
0.88894,0.84497,0.77688,0.809495691,
0.89179,0.85011,0.78516,0.816345151,
0.89061,0.81125,0.828,0.819539424,
0.89179,0.8556,0.78165,0.816954943,
0.89371,0.7717,0.86227,0.814474879,
0.89402,0.85039,0.78683,0.81737624,
0.89407,0.83966,0.80901,0.824050097,
0.89327,0.83271,0.8093,0.820838123,
0.89176,0.83429,0.81,0.82196559,
0.89134,0.82629,0.81688,0.821558056,
0.88955,0.77645,0.87912,0.824601465,
0.88886,0.76285,0.87003,0.812922426,
0.88853,0.8149,0.82787,0.8213338,
0.8892,0.77186,0.86667,0.816522012,
0.89208,0.77981,0.86848,0.821759992,
0.89215,0.78579,0.86447,0.823254374,
0.89242,0.78854,0.85918,0.822345784,
0.89311,0.79739,0.84922,0.822489279,
0.88856,0.80946,0.83658,0.822796587,
0.89002,0.81759,0.82701,0.822273022,
0.89042,0.81745,0.83477,0.826019218,
0.89123,0.862,0.80178,0.830800178,
0.8899,0.87025,0.79522,0.831044936,
0.88847,0.8691,0.79475,0.830263816,
0.88696,0.87188,0.78426,0.825752181,
0.88584,0.86819,0.78904,0.826724881,
0.88623,0.87643,0.78918,0.830519782,
0.88417,0.86336,0.79279,0.826571475,
0.88458,0.86373,0.78999,0.825215953,
0.88666,0.86704,0.78131,0.821945609,
0.88687,0.85783,0.79237,0.823801669,
0.88619,0.86315,0.78662,0.823109952,
0.88664,0.88042,0.76743,0.820051243,
0.88784,0.84613,0.79558,0.820076756,
0.89121,0.82894,0.81245,0.820612168,
0.89187,0.82865,0.81394,0.821229133,
0.89154,0.88262,0.76843,0.821576193,
0.89195,0.87434,0.78111,0.825099782,
0.89159,0.87347,0.78385,0.826236888,
0.89115,0.85381,0.79363,0.82262083,
0.89142,0.85484,0.79291,0.822711193,
0.89186,0.85982,0.79139,0.82418705,
0.89145,0.8553,0.79625,0.824719355,
0.89141,0.85638,0.79714,0.825698816,
0.89101,0.85743,0.79504,0.825057214,
0.89163,0.86581,0.79277,0.827681744,
0.88988,0.86341,0.79242,0.826393231,
0.88823,0.86317,0.79209,0.826103845,
0.88846,0.85948,0.79288,0.824837811,
0.88837,0.85926,0.7897,0.823012835,
0.88933,0.85314,0.81336,0.832775218,
0.88933,0.85425,0.81244,0.832820585,
0.88925,0.85939,0.80216,0.829789392,
0.8893,0.85415,0.80959,0.831273274,
